gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B-cells	Endothelial	Fibroblast	Macrophages	Neuron	RBC	T-cells	Unknown	VSMC
JAM2	P57087	False	JAM2_HUMAN		CPI-SS087B53ABF	0.062	0.542	0.297	0.056	0.0	0.0	0.051	0.03	0.017
JAM3	Q9BX67	False	JAM3_HUMAN		CPI-SS0F9D53834	0.002	0.144	0.252	0.007	0.353	0.003	0.004	0.018	1.166
FFAR2	O15552	False	FFAR2_HUMAN		CPI-SS01158CABF	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.025
LAMP1	P11279	False	LAMP1_HUMAN		CPI-SS055E061C9	0.375	1.237	1.678	1.182	1.568	0.054	0.476	0.501	1.55
CXADR	P78310	False	CXAR_HUMAN		CPI-SS033CB0BB2	0.004	0.0	0.0	0.0	0.085	0.0	0.0	0.0	0.0
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS0E2431C09	0.001	0.0	0.004	0.0	0.0	0.0	0.028	0.037	0.005
ADGRG5	Q8IZF4	False	AGRG5_HUMAN		CPI-SS0AFC7BACF	0.001	0.0	0.0	0.011	0.0	0.0	0.013	0.0	0.0
FFAR2	O15552	False	FFAR2_HUMAN		CPI-SS072E1E27A	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.025
ASGR2	P07307	False	ASGR2_HUMAN		CPI-SS04A4A2334	0.001	0.0	0.0	0.015	0.0	0.0	0.003	0.035	0.0
CNR2	P34972	False	CNR2_HUMAN		CPI-SS00E3EB9FE	0.29	0.016	0.008	0.07	0.026	0.013	0.006	0.165	0.026
CXCR3	P49682	False	CXCR3_HUMAN		CPI-SS02246DA17	0.002	0.0	0.003	0.016	0.0	0.007	0.209	0.044	0.0
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0F52745F3	0.102	0.034	0.131	0.052	0.0	0.022	0.257	0.219	0.018
FCGR2A	P12318	False	FCG2A_HUMAN		CPI-SS0C17BB772	0.326	0.005	0.007	0.192	0.027	0.016	0.004	0.163	0.013
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS016EE0084	0.001	0.0	0.004	0.0	0.0	0.0	0.028	0.037	0.005
CD80	P33681	False	CD80_HUMAN		CPI-SS08F13AD5C	0.013	0.006	0.003	0.119	0.0	0.0	0.127	0.091	0.0
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS0F5B6B186	0.001	0.0	0.004	0.0	0.0	0.0	0.028	0.037	0.005
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0D795AC00	0.0	0.0	0.133	0.004	0.0	0.0	0.0	0.0	0.009
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0B02DE712	0.0	0.0	0.133	0.004	0.0	0.0	0.0	0.0	0.009
ADGRL1	O94910	False	AGRL1_HUMAN		CPI-SS09375CA29	0.039	0.034	0.041	0.014	0.0	0.0	0.016	0.041	0.03
EGF	P01133	False	EGF_HUMAN		CPI-SS00A953C3A	0.005	0.039	0.016	0.006	0.0	0.004	0.001	0.034	0.006
ERBB3	P21860	False	ERBB3_HUMAN		CPI-SS0BF9FA3F2	0.002	0.0	0.0	0.003	1.204	0.0	0.011	0.0	0.003
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0F4D30D5A	0.0	0.0	0.133	0.004	0.0	0.0	0.0	0.0	0.009
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0E25CE362	0.0	0.0	0.133	0.004	0.0	0.0	0.0	0.0	0.009
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0055264F3	0.0	0.0	0.133	0.004	0.0	0.0	0.0	0.0	0.009
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0481D83A4	0.0	0.0	0.133	0.004	0.0	0.0	0.0	0.0	0.009
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS0D4C221B8	0.037	0.19	0.235	0.279	0.034	0.002	0.06	0.095	0.211
EGFR	P00533	False	EGFR_HUMAN		CPI-SS08CA619FE	0.0	0.0	0.133	0.004	0.0	0.0	0.0	0.0	0.009
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0DA033F03	0.006	0.403	0.426	0.444	0.202	0.003	0.032	0.0	0.348
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS054D158CC	0.002	0.0	0.0	0.095	0.0	0.0	0.002	0.0	0.0
TNFRSF1B	P20333	False	TNR1B_HUMAN		CPI-SS0C4E86714	0.004	0.023	0.061	0.516	0.0	0.0	0.111	0.074	0.014
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0A19E9C34	0.0	0.0	0.133	0.004	0.0	0.0	0.0	0.0	0.009
ERBB3	P21860	False	ERBB3_HUMAN		CPI-SS06BC4D123	0.002	0.0	0.0	0.003	1.204	0.0	0.011	0.0	0.003
EGFR	P00533	False	EGFR_HUMAN		CPI-SS088A0A760	0.0	0.0	0.133	0.004	0.0	0.0	0.0	0.0	0.009
CD74	P04233	False	HG2A_HUMAN		CPI-SS0302E8E8F	4.788	0.617	0.467	2.215	0.694	0.52	0.504	3.992	0.512
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS0E6E8A727	0.002	0.0	0.0	0.095	0.0	0.0	0.002	0.0	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0C10824C7	0.0	0.0	0.133	0.004	0.0	0.0	0.0	0.0	0.009
CD44	P16070	False	CD44_HUMAN		CPI-SS0632A027A	0.124	0.03	0.14	0.91	0.495	0.03	0.566	0.428	0.316
TNFRSF13B	O14836	False	TR13B_HUMAN		CPI-SS03C51D352	0.369	0.019	0.016	0.003	0.0	0.017	0.013	0.229	0.01
TFRC	P02786	False	TFR1_HUMAN		CPI-SS03133B4F2	0.073	0.016	0.014	0.043	0.0	0.024	0.097	0.083	0.06
CD40	P25942	False	TNR5_HUMAN		CPI-SS0F00D756A	0.466	0.312	0.018	0.09	0.0	0.036	0.011	0.264	0.093
TNFRSF17	Q02223	False	TNR17_HUMAN		CPI-SS0E2863F09	0.002	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0
TNFRSF13C	Q96RJ3	False	TR13C_HUMAN		CPI-SS09648FAA9	0.95	0.075	0.027	0.026	0.0	0.071	0.017	0.537	0.042
CD74	P04233	False	HG2A_HUMAN		CPI-SS09808DEAE	4.788	0.617	0.467	2.215	0.694	0.52	0.504	3.992	0.512
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS09C4FCB90	0.037	0.19	0.235	0.279	0.034	0.002	0.06	0.095	0.211
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS0E9A581F8	0.037	0.19	0.235	0.279	0.034	0.002	0.06	0.095	0.211
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0A4F27388	0.006	0.403	0.426	0.444	0.202	0.003	0.032	0.0	0.348
FAS	P25445	False	TNR6_HUMAN		CPI-SS03A0C857B	0.005	0.088	0.036	0.186	0.075	0.003	0.036	0.0	0.205
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS004A073E1	0.002	0.0	0.0	0.095	0.0	0.0	0.002	0.0	0.0
NGFR	P08138	False	TNR16_HUMAN		CPI-SS0ADA587B4	0.011	0.003	0.012	0.081	0.161	0.0	0.002	0.031	0.343
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS0B1AB068C	0.002	0.0	0.0	0.095	0.0	0.0	0.002	0.0	0.0
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS0391D4602	0.002	0.0	0.0	0.095	0.0	0.0	0.002	0.0	0.0
ADORA2A	P29274	False	AA2AR_HUMAN		CPI-SS00A6D366F	0.005	0.055	0.016	0.321	0.0	0.003	0.123	0.095	0.256
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS05D1A6BEF	0.002	0.0	0.0	0.095	0.0	0.0	0.002	0.0	0.0
CD44	P16070	False	CD44_HUMAN		CPI-SS06F83AE58	0.124	0.03	0.14	0.91	0.495	0.03	0.566	0.428	0.316
NRP1	O14786	False	NRP1_HUMAN		CPI-SS0DE0A486F	0.005	0.267	0.837	0.857	0.184	0.014	0.081	0.066	0.647
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0E00478B4	0.076	1.066	0.172	0.078	0.683	0.0	0.025	0.057	0.12
NRP1	O14786	False	NRP1_HUMAN		CPI-SS0855C0353	0.005	0.267	0.837	0.857	0.184	0.014	0.081	0.066	0.647
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0D22A09AD	0.076	1.066	0.172	0.078	0.683	0.0	0.025	0.057	0.12
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0E61DB5DF	0.001	0.361	0.004	0.006	0.0	0.0	0.002	0.0	0.006
NRP1	O14786	False	NRP1_HUMAN		CPI-SS033E6DE7E	0.005	0.267	0.837	0.857	0.184	0.014	0.081	0.066	0.647
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0947A8549	0.001	0.361	0.004	0.006	0.0	0.0	0.002	0.0	0.006
ADRB2	P07550	False	ADRB2_HUMAN		CPI-SS098425155	0.13	0.258	0.058	0.455	0.035	0.011	0.053	0.17	0.055
NRP1	O14786	False	NRP1_HUMAN		CPI-SS08083B141	0.005	0.267	0.837	0.857	0.184	0.014	0.081	0.066	0.647
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0F15C1AB3	0.076	1.066	0.172	0.078	0.683	0.0	0.025	0.057	0.12
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0241A1F57	0.076	1.066	0.172	0.078	0.683	0.0	0.025	0.057	0.12
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0268D47AD	0.275	0.113	0.085	0.139	0.125	0.08	1.181	0.346	0.062
IGF2	P01344	False	IGF2_HUMAN		CPI-SS016B111FE	0.0	0.023	0.066	0.0	0.0	0.0	0.002	0.0	0.111
BDNF	P23560	False	BDNF_HUMAN		CPI-SS0714977CA	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.003
ADIPOQ	Q15848	False	ADIPO_HUMAN		CPI-SS0E1389B57	0.008	0.0	0.007	0.01	0.0	0.0	0.006	0.016	0.006
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0D1D95883	0.275	0.113	0.085	0.139	0.125	0.08	1.181	0.346	0.062
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0B01D306C	0.169	0.209	0.176	0.198	0.26	0.109	1.49	0.183	0.221
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0795802F6	0.275	0.113	0.085	0.139	0.125	0.08	1.181	0.346	0.062
CSF1	P09603	False	CSF1_HUMAN		CPI-SS03105D292	0.009	0.072	0.432	0.164	0.09	0.0	0.021	0.0	0.15
CCL4	P13236	False	CCL4_HUMAN		CPI-SS05BA6D9C3	0.275	0.113	0.085	0.139	0.125	0.08	1.181	0.346	0.062
CCL4	P13236	False	CCL4_HUMAN		CPI-SS008F83E02	0.275	0.113	0.085	0.139	0.125	0.08	1.181	0.346	0.062
IGF2	P01344	False	IGF2_HUMAN		CPI-SS0A3569604	0.0	0.023	0.066	0.0	0.0	0.0	0.002	0.0	0.111
IGF2	P01344	False	IGF2_HUMAN		CPI-SS0579FA162	0.0	0.023	0.066	0.0	0.0	0.0	0.002	0.0	0.111
IGF1	P05019	False	IGF1_HUMAN		CPI-SS0E41702C1	0.012	0.291	2.603	0.19	0.036	0.003	0.014	0.0	1.323
IGF2	P01344	False	IGF2_HUMAN		CPI-SS042A6F835	0.0	0.023	0.066	0.0	0.0	0.0	0.002	0.0	0.111
BDNF	P23560	False	BDNF_HUMAN		CPI-SS0BA601DC4	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.003
NTF3	P20783	False	NTF3_HUMAN		CPI-SS093E05DD4	0.002	0.066	0.211	0.0	0.0	0.0	0.0	0.0	0.211
NTF4	P34130	False	NTF4_HUMAN		CPI-SS088C1035B	0.0	0.003	0.0	0.003	0.0	0.0	0.002	0.013	0.0
BDNF	P23560	False	BDNF_HUMAN		CPI-SS09A36B221	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.003
GRN	P28799	False	GRN_HUMAN		CPI-SS07CCAD9BF	0.243	0.782	1.11	1.258	0.597	0.033	0.078	0.266	0.543
COPA	P53621	False	COPA_HUMAN		CPI-SS04F3A1E5C	0.166	0.225	0.462	0.25	0.228	0.019	0.189	0.21	0.232
BDNF	P23560	False	BDNF_HUMAN		CPI-SS03F0B666C	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.003
ADIPOQ	Q15848	False	ADIPO_HUMAN		CPI-SS06E42DB13	0.008	0.0	0.007	0.01	0.0	0.0	0.006	0.016	0.006
KLRB1	Q12918	False	KLRB1_HUMAN		CPI-SS0E292C126	0.008	0.028	0.016	0.159	0.063	0.016	0.567	0.0	0.026
FAM3C	Q92520	False	FAM3C_HUMAN		CPI-SS02A0FF87F	0.477	0.349	0.313	0.225	0.447	0.037	0.105	0.343	0.275
TNF	P01375	False	TNFA_HUMAN		CPI-SS0F8EFEECF	0.0	0.0	0.0	0.002	0.0	0.0	0.016	0.0	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS02EBC1BB0	0.0	0.0	0.0	0.002	0.0	0.0	0.016	0.0	0.0
DLL1	O00548	False	DLL1_HUMAN		CPI-SS04A5D6B6F	0.007	0.197	0.0	0.0	0.0	0.0	0.008	0.023	0.008
TNF	P01375	False	TNFA_HUMAN		CPI-SS0B81F1BF5	0.0	0.0	0.0	0.002	0.0	0.0	0.016	0.0	0.0
PLXNB2	O15031	False	PLXB2_HUMAN		CPI-SS0AB21032D	0.036	0.17	0.222	0.617	0.306	0.006	0.005	0.015	0.191
TNF	P01375	False	TNFA_HUMAN		CPI-SS09C917D22	0.0	0.0	0.0	0.002	0.0	0.0	0.016	0.0	0.0
VEGFD	O43915	False	VEGFD_HUMAN		CPI-SS0D883FFF1	0.001	0.0	0.33	0.0	0.0	0.0	0.002	0.0	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS03B8E2D7A	0.0	0.0	0.0	0.002	0.0	0.0	0.016	0.0	0.0
ICOSLG	O75144	False	ICOSL_HUMAN		CPI-SS0E4B1484B	0.143	0.006	0.063	0.028	0.0	0.01	0.012	0.048	0.057
TNF	P01375	False	TNFA_HUMAN		CPI-SS04B4619D0	0.0	0.0	0.0	0.002	0.0	0.0	0.016	0.0	0.0
LTA	P01374	False	TNFB_HUMAN		CPI-SS084BE3E4B	0.024	0.0	0.0	0.005	0.0	0.004	0.043	0.013	0.002
TNFSF13	O75888	False	TNF13_HUMAN		CPI-SS0F9B3B259	0.005	0.046	0.15	1.051	0.118	0.005	0.002	0.021	0.034
TNF	P01375	False	TNFA_HUMAN		CPI-SS08B7D54A3	0.0	0.0	0.0	0.002	0.0	0.0	0.016	0.0	0.0
TNFSF13	O75888	False	TNF13_HUMAN		CPI-SS0A83A7E30	0.005	0.046	0.15	1.051	0.118	0.005	0.002	0.021	0.034
TNF	P01375	False	TNFA_HUMAN		CPI-SS0E7D5974D	0.0	0.0	0.0	0.002	0.0	0.0	0.016	0.0	0.0
LTA	P01374	False	TNFB_HUMAN		CPI-SS07D9A48A2	0.024	0.0	0.0	0.005	0.0	0.004	0.043	0.013	0.002
TNF	P01375	False	TNFA_HUMAN		CPI-SS048A2311A	0.0	0.0	0.0	0.002	0.0	0.0	0.016	0.0	0.0
LTA	P01374	False	TNFB_HUMAN		CPI-SS0D5C54214	0.024	0.0	0.0	0.005	0.0	0.004	0.043	0.013	0.002
TNFSF10	P50591	False	TNF10_HUMAN		CPI-SS0DEDA3567	0.004	0.259	0.056	0.0	0.0	0.003	0.042	0.034	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS0FBC9234C	0.0	0.0	0.0	0.002	0.0	0.0	0.016	0.0	0.0
PTN	P21246	False	PTN_HUMAN		CPI-SS00F4DDF4B	0.005	0.337	0.119	0.006	1.308	0.009	0.019	0.0	1.905
TNF	P01375	False	TNFA_HUMAN		CPI-SS034B442CE	0.0	0.0	0.0	0.002	0.0	0.0	0.016	0.0	0.0
CXCR3	P49682	False	CXCR3_HUMAN		CPI-SS003610FF9	0.002	0.0	0.003	0.016	0.0	0.007	0.209	0.044	0.0
CCRL2	O00421	False	CCRL2_HUMAN		CPI-SS056BE1011	0.001	0.048	0.032	0.185	0.0	0.003	0.006	0.0	0.058
CCR7	P32248	False	CCR7_HUMAN		CPI-SS098EFF959	0.037	0.003	0.0	0.007	0.0	0.003	0.037	0.017	0.006
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0FAF4BB9E	0.102	0.034	0.131	0.052	0.0	0.022	0.257	0.219	0.018
ACKR2	O00590	False	ACKR2_HUMAN		CPI-SS08E13FAF2	0.0	0.021	0.003	0.0	0.0	0.0	0.0	0.0	0.0
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0DBA4D668	0.102	0.034	0.131	0.052	0.0	0.022	0.257	0.219	0.018
ACKR3	P25106	False	ACKR3_HUMAN		CPI-SS07155793F	0.101	1.007	0.928	0.018	0.069	0.024	0.011	0.076	0.075
TNFRSF13B	O14836	False	TR13B_HUMAN		CPI-SS0DCA69916	0.369	0.019	0.016	0.003	0.0	0.017	0.013	0.229	0.01
TNFRSF13B	O14836	False	TR13B_HUMAN		CPI-SS0AA47D179	0.369	0.019	0.016	0.003	0.0	0.017	0.013	0.229	0.01
CD27	P26842	False	CD27_HUMAN		CPI-SS0D4BF6CA3	0.008	0.012	0.018	0.021	0.09	0.075	0.808	0.662	0.013
CD40	P25942	False	TNR5_HUMAN		CPI-SS083296041	0.466	0.312	0.018	0.09	0.0	0.036	0.011	0.264	0.093
NGFR	P08138	False	TNR16_HUMAN		CPI-SS09F430F14	0.011	0.003	0.012	0.081	0.161	0.0	0.002	0.031	0.343
NGFR	P08138	False	TNR16_HUMAN		CPI-SS0A93C11C8	0.011	0.003	0.012	0.081	0.161	0.0	0.002	0.031	0.343
NCAM1	P13591	False	NCAM1_HUMAN		CPI-SS01BCB9360	0.001	0.017	0.03	0.0	0.544	0.0	0.001	0.0	0.07
NGFR	P08138	False	TNR16_HUMAN		CPI-SS0BA3A1C3A	0.011	0.003	0.012	0.081	0.161	0.0	0.002	0.031	0.343
NOTCH2	Q04721	False	NOTC2_HUMAN		CPI-SS07D71C546	0.177	0.128	0.278	0.46	0.266	0.025	0.128	0.2	0.15
NOTCH2	Q04721	False	NOTC2_HUMAN		CPI-SS027CDEA08	0.177	0.128	0.278	0.46	0.266	0.025	0.128	0.2	0.15
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS012B7C21D	0.056	0.794	0.05	0.225	0.52	0.005	0.329	0.433	0.169
NOTCH4	Q99466	False	NOTC4_HUMAN		CPI-SS00D153A8A	0.018	0.027	0.002	0.003	0.0	0.009	0.012	0.0	0.061
NOTCH2	Q04721	False	NOTC2_HUMAN		CPI-SS02770D68F	0.177	0.128	0.278	0.46	0.266	0.025	0.128	0.2	0.15
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS08C3D27F7	0.056	0.794	0.05	0.225	0.52	0.005	0.329	0.433	0.169
NOTCH4	Q99466	False	NOTC4_HUMAN		CPI-SS05FEE05CB	0.018	0.027	0.002	0.003	0.0	0.009	0.012	0.0	0.061
