id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	B-cells|B-cells	B-cells|Endothelial	B-cells|Fibroblast	B-cells|Macrophages	B-cells|Neuron	B-cells|RBC	B-cells|T-cells	B-cells|Unknown	B-cells|VSMC	Endothelial|B-cells	Endothelial|Endothelial	Endothelial|Fibroblast	Endothelial|Macrophages	Endothelial|Neuron	Endothelial|RBC	Endothelial|T-cells	Endothelial|Unknown	Endothelial|VSMC	Fibroblast|B-cells	Fibroblast|Endothelial	Fibroblast|Fibroblast	Fibroblast|Macrophages	Fibroblast|Neuron	Fibroblast|RBC	Fibroblast|T-cells	Fibroblast|Unknown	Fibroblast|VSMC	Macrophages|B-cells	Macrophages|Endothelial	Macrophages|Fibroblast	Macrophages|Macrophages	Macrophages|Neuron	Macrophages|RBC	Macrophages|T-cells	Macrophages|Unknown	Macrophages|VSMC	Neuron|B-cells	Neuron|Endothelial	Neuron|Fibroblast	Neuron|Macrophages	Neuron|Neuron	Neuron|RBC	Neuron|T-cells	Neuron|Unknown	Neuron|VSMC	RBC|B-cells	RBC|Endothelial	RBC|Fibroblast	RBC|Macrophages	RBC|Neuron	RBC|RBC	RBC|T-cells	RBC|Unknown	RBC|VSMC	T-cells|B-cells	T-cells|Endothelial	T-cells|Fibroblast	T-cells|Macrophages	T-cells|Neuron	T-cells|RBC	T-cells|T-cells	T-cells|Unknown	T-cells|VSMC	Unknown|B-cells	Unknown|Endothelial	Unknown|Fibroblast	Unknown|Macrophages	Unknown|Neuron	Unknown|RBC	Unknown|T-cells	Unknown|Unknown	Unknown|VSMC	VSMC|B-cells	VSMC|Endothelial	VSMC|Fibroblast	VSMC|Macrophages	VSMC|Neuron	VSMC|RBC	VSMC|T-cells	VSMC|Unknown	VSMC|VSMC
CPI-SS0C5E9FBFB	NECTIN1_NECTIN3	simple:Q15223	simple:Q9NQS3	NECTIN1	NECTIN3	True	True	False	curated	False	0.0	0.004	0.018	0.0	0.0	0.0	0.001	0.0	0.002	0.0	0.005	0.02	0.0	0.0	0.0	0.002	0.0	0.003	0.0	0.035	0.049	0.0	0.0	0.0	0.032	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.035	0.0	0.0	0.0	0.017	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.044	0.0	0.0	0.0	0.026	0.0	0.027
CPI-SS03859E16F	TIGIT_NECTIN3	simple:Q495A1	simple:Q9NQS3	TIGIT	NECTIN3	False	False	False	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.027	0.0	0.0	0.0	0.01	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.019	0.0	0.0	0.0	0.002	0.0	0.003
CPI-SS02FBD007E	NECTIN2_NECTIN3	simple:Q92692	simple:Q9NQS3	NECTIN2	NECTIN3	False	True	False	curated	False	0.0	0.005	0.019	0.0	0.0	0.0	0.001	0.0	0.002	0.0	0.34	0.354	0.0	0.0	0.0	0.337	0.0	0.338	0.0	0.084	0.098	0.0	0.0	0.0	0.08	0.0	0.081	0.0	0.009	0.024	0.0	0.0	0.0	0.006	0.0	0.007	0.0	0.057	0.071	0.0	0.0	0.0	0.053	0.0	0.054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.019	0.0	0.0	0.0	0.001	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.134	0.0	0.0	0.0	0.116	0.0	0.117
CPI-SS09C06644C	CADM3_CADM1	simple:Q8N126	simple:Q9BY67	CADM3	CADM1	False	False	False	curated	False	0.004	0.007	0.0	0.04	0.149	0.0	0.004	0.014	0.0	0.047	0.051	0.0	0.083	0.192	0.0	0.047	0.057	0.0	0.403	0.407	0.0	0.439	0.548	0.0	0.404	0.413	0.0	0.05	0.054	0.0	0.086	0.195	0.0	0.05	0.06	0.0	0.678	0.682	0.0	0.715	0.824	0.0	0.679	0.689	0.0	0.004	0.007	0.0	0.04	0.149	0.0	0.004	0.014	0.0	0.003	0.007	0.0	0.039	0.148	0.0	0.003	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.126	0.129	0.0	0.162	0.271	0.0	0.126	0.136	0.0
CPI-SS0889E281D	CADM1_CADM1	simple:Q9BY67	simple:Q9BY67	CADM1	CADM1	False	False	False	curated	False	0.001	0.005	0.0	0.037	0.146	0.0	0.002	0.011	0.0	0.005	0.009	0.0	0.041	0.15	0.0	0.006	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037	0.041	0.0	0.073	0.182	0.0	0.038	0.047	0.0	0.146	0.15	0.0	0.182	0.291	0.0	0.147	0.156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.006	0.0	0.038	0.147	0.0	0.002	0.012	0.0	0.011	0.015	0.0	0.047	0.156	0.0	0.012	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0C9696AAA	CRTAM_CADM1	simple:O95727	simple:Q9BY67	CRTAM	CADM1	False	False	False	curated	False	0.001	0.005	0.0	0.037	0.146	0.0	0.001	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.008	0.0	0.041	0.15	0.0	0.005	0.015	0.0	0.011	0.015	0.0	0.047	0.156	0.0	0.012	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS02D18D12B	CADM3_CADM4	simple:Q8N126	simple:Q8NFZ8	CADM3	CADM4	False	False	False	curated	False	0.0	0.0	0.0	0.0	0.259	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.302	0.0	0.046	0.0	0.0	0.0	0.0	0.0	0.0	0.658	0.0	0.403	0.0	0.0	0.0	0.0	0.0	0.0	0.305	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.934	0.0	0.678	0.0	0.0	0.0	0.0	0.0	0.0	0.259	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.258	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.381	0.0	0.125	0.0	0.0
CPI-SS0B3829651	CADM3_EPB41L1	simple:Q8N126	simple:Q9H4G0	CADM3	EPB41L1	False	False	False	curated	False	0.0	0.01	0.033	0.004	0.024	0.0	0.003	0.0	0.052	0.0	0.053	0.076	0.048	0.067	0.0	0.046	0.0	0.095	0.0	0.409	0.432	0.404	0.424	0.0	0.403	0.0	0.451	0.0	0.056	0.079	0.051	0.07	0.0	0.05	0.0	0.098	0.0	0.685	0.708	0.679	0.699	0.0	0.678	0.0	0.727	0.0	0.01	0.033	0.004	0.024	0.0	0.003	0.0	0.052	0.0	0.009	0.032	0.004	0.023	0.0	0.002	0.0	0.051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.132	0.155	0.126	0.146	0.0	0.125	0.0	0.174
CPI-SS00661A3A4	NECTIN1_CADM3	simple:Q15223	simple:Q8N126	NECTIN1	CADM3	True	True	False	curated	False	0.003	0.046	0.403	0.05	0.678	0.003	0.003	0.0	0.125	0.004	0.048	0.404	0.051	0.679	0.005	0.004	0.0	0.127	0.034	0.077	0.434	0.08	0.709	0.034	0.033	0.0	0.156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.063	0.419	0.066	0.695	0.02	0.019	0.0	0.142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029	0.072	0.428	0.075	0.704	0.029	0.028	0.0	0.151
CPI-SS0A5DF05C0	TIGIT_NECTIN2	simple:Q495A1	simple:Q92692	TIGIT	NECTIN2	False	False	True	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.346	0.089	0.015	0.062	0.0	0.01	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.337	0.081	0.007	0.054	0.0	0.002	0.0	0.117
CPI-SS06207F70E	CD226_NECTIN2	simple:Q15762	simple:Q92692	CD226	NECTIN2	False	True	True	curated	False	0.003	0.338	0.082	0.007	0.055	0.0	0.003	0.0	0.118	0.005	0.341	0.084	0.01	0.057	0.0	0.005	0.0	0.12	0.002	0.338	0.081	0.007	0.054	0.0	0.002	0.0	0.117	0.004	0.34	0.083	0.009	0.056	0.0	0.004	0.0	0.119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.346	0.089	0.015	0.062	0.0	0.01	0.0	0.125	0.182	0.517	0.261	0.186	0.234	0.0	0.182	0.0	0.297	0.09	0.425	0.169	0.094	0.142	0.0	0.09	0.0	0.205	0.005	0.341	0.084	0.01	0.057	0.0	0.005	0.0	0.12
CPI-SS0CC5DCE80	CDH1_KLRG1	simple:P12830	simple:Q96E93	CDH1	KLRG1	False	False	True	curated	False	0.001	0.0	0.0	0.003	0.0	0.0	0.053	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.022	0.0	0.0	0.073	0.0	0.021	0.08	0.0	0.0	0.082	0.0	0.0	0.132	0.0	0.081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.003	0.0	0.0	0.054	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS03DA2A820	FGF2_CD44	simple:P09038	simple:P16070	FGF2	CD44	True	False	True	I2D,InnateDB-All	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.086	0.04	0.094	0.48	0.272	0.04	0.308	0.238	0.182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.074	0.027	0.082	0.467	0.259	0.027	0.295	0.226	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.062	0.015	0.07	0.455	0.248	0.015	0.283	0.214	0.158	0.072	0.026	0.08	0.466	0.258	0.026	0.294	0.225	0.169	0.079	0.032	0.087	0.472	0.264	0.032	0.3	0.231	0.175
CPI-SS02AB0C3E0	SPP1_CD44	simple:P10451	simple:P16070	SPP1	CD44	True	False	True	I2D,IMEx,InnateDB-All,IntAct	False	0.065	0.019	0.073	0.459	0.251	0.019	0.287	0.217	0.162	0.075	0.029	0.083	0.469	0.261	0.029	0.297	0.228	0.172	0.073	0.026	0.081	0.466	0.259	0.026	0.294	0.225	0.169	0.074	0.027	0.082	0.467	0.26	0.027	0.295	0.226	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.066	0.02	0.074	0.46	0.252	0.02	0.288	0.219	0.163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS03722104E	HGF_CD44	simple:P14210	simple:P16070	HGF	CD44	True	False	True	IMEx,InnateDB-All,IntAct	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.034	0.088	0.474	0.266	0.034	0.302	0.233	0.177	0.115	0.068	0.123	0.508	0.301	0.069	0.337	0.267	0.211	0.097	0.05	0.105	0.49	0.283	0.051	0.319	0.249	0.193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.065	0.018	0.073	0.458	0.251	0.018	0.286	0.217	0.161	0.069	0.022	0.077	0.462	0.254	0.022	0.29	0.221	0.165	0.178	0.131	0.186	0.571	0.363	0.131	0.399	0.33	0.274
CPI-SS008FB916C	FGF2_FGFR4	simple:P09038	simple:P22455	FGF2	FGFR4	True	False	True	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036
CPI-SS0D9366D11	FGF1_FGFR4	simple:P05230	simple:P22455	FGF1	FGFR4	True	False	True	I2D,IMEx,InnateDB-All,IntAct	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.046
CPI-SS0D4CA5D92	FGF18_FGFR4	simple:O76093	simple:P22455	FGF18	FGFR4	True	False	True	I2D	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021
CPI-SS0D95D41D6	FGF7_FGFR4	simple:P21781	simple:P22455	FGF7	FGFR4	True	False	True	I2D	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028
CPI-SS01F67987A	FGF2_FGFR1	simple:P09038	simple:P11362	FGF2	FGFR1	True	False	True	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.059	0.091	0.029	0.0	0.0	0.026	0.0	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.047	0.078	0.017	0.0	0.0	0.013	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.035	0.066	0.005	0.0	0.0	0.001	0.0	0.008	0.0	0.045	0.077	0.016	0.0	0.0	0.012	0.0	0.019	0.0	0.052	0.083	0.022	0.0	0.0	0.018	0.0	0.025
CPI-SS0755A26DD	FGF1_FGFR1	simple:P05230	simple:P11362	FGF1	FGFR1	True	False	True	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.063	0.095	0.034	0.0	0.0	0.03	0.0	0.037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.062	0.093	0.032	0.0	0.0	0.028	0.0	0.035
