case	control	lfc
ELMO1	0.00470897587309122	0.0370742341936387	-2.95398257457002
PRKCD	0.0544020841393717	0.0425540411866733	0.346150006682837
JAK3	0.0204572748887374	0	0
PIK3R2	0.305946874066798	0.604655403002165	-0.825110145036951
IKBKB	0.290993713113125	0.411883362189397	-0.433453060694662
TIAM1	0	0.0167169645352515	0
GSK3B	0.589059870997775	0.817973588591643	-0.368019419107834
ADCY5	0.0358416557973642	0.0500799305881365	-0.472678442840083
MAPK1	0.291713178513545	0.167622279142819	0.723987502281237
ROCK1	1.71461128824426	1.60227468683242	0.0623844415392652
CCL17	0	0	0
CX3CL1	0.0623970601136387	0.103372569289825	-0.700643528730568
CCL22	0	0	0
ADCY7	0.0112702469987332	0.00674187906956675	0.738054266540465
PRKACA	0.325786012867481	0.472699669179535	-0.456972665336013
BCAR1	0.0984129022728544	0.182630317686059	-0.837556177438902
PARD3	0.259926669327082	0.301729301380825	-0.190635553470494
FOXO3	0.0629114208684332	0.140868411076059	-1.11107861335813
RAC1	1.73605161481156	1.64256083658304	0.0507150895078595
GNB2	3.36432446208711	2.51089797014733	0.230521996861463
CCL24	0.0039011541174341	0	0
NCF1	0.0121684001917817	0.00580582870366876	1.06301005455764
PXN	0.342436122547943	0.489527107504553	-0.436231289493093
GRK3	0.00676253232490451	0	0
GNG4	0	0.00770780037105351	0
