case	control	lfc
FASLG	0	0.00395517833701363	0
XCL1	0.00665479451325502	0	0
TGFB2	0.784963428378354	1.00547045901639	-0.26428127730448
TNFRSF17	0	0	0
TNFRSF12A	0.346993068145899	0.39297293024903	-0.154043023713961
IL9R	0	0	0
FLT4	0	0.00872441238901457	0
IL4	0	0	0
IL5	0	0	0
CSF2	0	0	0
TNFRSF13B	0.0276220739099236	0	0
TNFSF13	0.299402362687297	0.240151608464152	0.283136943121168
TNFSF12	0.707313476692583	1.02615814514648	-0.400631198123882
CXCL16	0.557125274082264	0.516281355714059	0.0893020186684368
CCL2	0.518530424186639	0.0352155985487532	3.59336692035304
CCL7	0.165083692263727	0.00861971659896442	4.15398907287688
CCL11	5.93659759691473	2.70569858855171	0.564257859777981
CCL1	0.00536323012333284	0	0
CCL5	0.858284157923568	0.0275366854995264	4.51167434935805
CCL3	0.263265955620884	0.0399902518211793	2.57531733199239
CCL4	0.238473395008792	0.0221061856039882	3.29007739381538
NGFR	0.0221367735574749	0.0196851721815921	0.16759742334089
CCR7	0	0	0
CCR10	0	0.00433726766883573	0
TNFRSF19	0	0	0
CXCL14	6.71445017695649	6.76156032268317	-0.00429265940353909
INHBA	0.1615577361477	0.161660284359589	-0.00085018436405609
IL15RA	0.04425802895645	0.0116434726571741	1.9034244672543
IL2RA	0.00695026529162618	0	0
IL17RB	0	0	0
BMPR1A	0.334271498242991	0.478218780842757	-0.438571768275166
IL12RB1	0	0	0
VEGFC	0.326853853652248	0.335323583263841	-0.0320998038900382
TNFSF13B	0.474607004056512	0.457344806579149	0.044416804801387
IFNAR2	0.111378389363615	0.176670617175984	-0.62349216903379
IL10RB	0.329350865999557	0.305341354055685	0.0954518534265319
IFNAR1	0.407523238490702	0.633669788710944	-0.521934428981277
IFNGR2	0.300097368085883	0.386215113240975	-0.315440590707845
IL1RAP	0.0130383577739098	0.025020849318857	-0.931859741609394
TSLP	0	0	0
PDGFRB	0.890895099719214	2.430755170213	-0.952436606249228
CSF1R	0.0261780516169497	0	0
IL17B	0.00849167005407006	0.00391807769704796	1.11262011949453
CCL17	0	0	0
CX3CL1	0.0623970601136387	0.103372569289825	-0.700643528730568
CCL22	0	0	0
IL15	0.0412440103396499	0	0
LTA	0	0	0
TNF	0	0	0
FLT1	0.00571794519921321	0	0
FLT3	0	0	0
PDGFA	0.138546953337298	0.555824093480508	-1.76829769873615
IL3RA	0.154912327594924	0.0745268597971902	1.00264256051796
CCL24	0.0039011541174341	0	0
IL7R	0.0121421792824444	0	0
BMPR1B	0	0.00428527045413154	0
LIF	0	0.00916310603637936	0
EDAR	0	0.082028273024525	0
